name;id;yr;cy;dr;at;ps;air;drv;p;wt;dom;disp;hp;lng;wdt;wb;mpg;q;firmids;euro;reli;dfi;hp2wt;size;japan;year;cat
"AD100L";1715;77;4;2;0;0;0;1;7150;2489;0;114.2;92;188;69;105.3;18;7682;7;1;2;0;.3696263;1.2972;0;1977;"midsize"
"AD4000";1869;80;4;4;0;0;0;1;8870;2178;0;97;76;177;67;99.5;22;14683;7;1;5;0;.348944;1.1859;0;1980;"midsize"
"AD4000";2359;81;4;4;0;0;0;1;9435;2123;0;105;74;177;67;100;26;18647;7;1;3;0;.3485633;1.1859;0;1981;"midsize"
"AD5000";1764;78;5;4;0;1;0;1;8780;2588;0;130.8;103;190;70;105.5;15;20761;7;1;5;0;.3979907;1.33;0;1978;"midsize"
"AD5000";1813;79;5;4;0;1;0;1;9725;2622;0;130.8;103;190;70;105.5;16;28276;7;1;3;0;.3928299;1.33;0;1979;"midsize"
"AD5000";1868;80;5;4;0;1;0;1;11400;2624;0;121;67;190;70;105.9;27;8038;7;1;5;0;.2553354;1.33;0;1980;"midsize"
"AD5000";2358;81;5;4;0;1;0;1;17950;2963;0;121;86;190;70;105.5;27;6139;7;1;3;0;.2902464;1.33;0;1981;"midsize"
"ADCOUP";2361;81;5;2;0;0;0;0;11895;2478;0;130.8;100;177;67;99.8;21;2553;7;1;3;0;.4035513;1.1859;0;1981;"midsize"
"ADFOX";1716;77;4;4;0;0;0;1;5549;2060;0;97;78;173;63;97.2;24;23281;7;1;4;0;.3786408;1.0899;0;1977;"compact"
"ADFOX";1765;78;4;4;0;0;0;0;6104;2060;0;97;78;173;63;96.5;23;19584;7;1;3;0;.3786408;1.0899;0;1978;"compact"
"ADFOX";1814;79;4;4;0;0;0;0;6445;2060;0;97;78;173;63;96.5;23;6151;7;1;3;0;.3786408;1.0899;0;1979;"compact"
"AMCONC";978;78;6;4;0;0;0;0;3849;3099;1;232;90;184;72;108;20;116043;15;0;3;0;.2904163;1.3248;0;1978;"midsize"
"AMCONC";1117;79;6;4;0;0;0;0;4489;2939;1;232;90;186;72;108;18;85432;15;0;3;0;.3062266;1.3392;0;1979;"midsize"
"AMCONC";1263;80;4;4;0;0;0;0;5219;2712;1;151;90;185;71;108;22;64991;15;0;2;0;.3318584;1.3135;0;1980;"midsize"
"AMCONC";1931;81;4;4;0;0;0;0;6054;2738;1;151;90;185;71;108;23;59838;15;0;3;0;.3287071;1.3135;0;1981;"midsize"
"AMEAGL";1267;80;6;4;0;0;0;0;7418;3450;1;258;100;187;72;109;16;32641;15;0;1;0;.2898551;1.3464;0;1980;"midsize"
"AMEAGL";1933;81;4;3;0;1;0;0;6966;2967;1;151;100;167;73;97.2;19;43221;15;0;1;0;.3370408;1.2191;0;1981;"compact"
"AMGREM";855;77;4;2;0;0;0;0;3248;2564;1;121;80;167;71;96;21;38071;15;0;3;0;.3120125;1.1857;0;1977;"compact"
"AMGREM";976;78;4;2;0;0;0;0;3789;2556;1;121;80;167;72;96;22;24414;15;0;2;0;.3129891;1.2024;0;1978;"compact"
"AMHORN";857;77;6;4;0;0;0;0;3449;3035;1;232;88;186;71;108;18;78332;15;0;2;0;.2899506;1.3206;0;1977;"midsize"
"AMMATA";860;77;6;4;1;1;0;0;4549;3713;1;258;98;216;78;118;15;22325;15;0;4;0;.2639375;1.6848;0;1977;"large"
"AMMATA";984;78;6;4;1;1;0;0;4849;3718;1;258;120;219;75;118;16;9471;15;0;3;0;.3227542;1.6425;0;1978;"large"
