year;gasprice
1919;.255
1920;.298
1921;.263
1922;.252
1923;.22
1924;.21
1925;.222
1926;.234
1927;.211
1928;.209
1929;.214
1930;.2
1931;.17
1932;.179
1933;.178
1934;.189
1935;.188
1936;.195
1937;.2
1938;.195
1939;.188
1940;.184
1941;.192
1942;.204
1943;.205
1944;.206
1945;.205
1946;.208
1947;.231
1948;.259
1949;.268
1950;.268
1951;.272
1952;.276
1953;.287
1954;.29
1955;.291
1956;.299
1957;.31
1958;.304
1959;.305
1960;.311
1961;.308
1962;.306
1963;.304
1964;.304
1965;.312
1966;.321
1967;.332
1968;.337
1969;.348
1970;.357
1971;.364
1972;.361
1973;.40575
1974;.5226667
1975;.55775
1976;.5801667
1977;.6168333
1978;.629
1979;.863
1980;1.202917
1981;1.337333
1982;1.257667
1983;1.205167
1984;1.1795
1985;1.171583
1986;.9061667
1987;.93
1988;.9290833
1989;1.0045
1990;1.144333
1991;1.120833
1992;1.107333
1993;1.089083
1994;1.092917
1995;1.127667
1996;1.21
1997;1.212667
1998;1.041167
1999;1.145167
2000;1.483808
2001;1.420057
2002;1.3445
2003;1.561096
2004;1.852212
2005;2.270462
2006;2.593731
